work_index	section	work_title	target	source_path	source_format	source_parts	output_path	global_transposition	status	error
104	Secular works for five voices	Io pur respiro in così gran dolore	string_quartet_plus_viole	data/cpdl/5-voices/sources/104_io_pur_respiro_in_cosi_gran_dolore__02_io_pur_respiro_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/104_io_pur_respiro_in_cos_gran_dolore.musicxml	0	ok	
105	Secular works for five voices	Io tacerò	string_quartet_plus_viole	data/cpdl/5-voices/sources/105_io_tacero__02_io_tacero_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/105_io_tacer.musicxml	4	ok	
106	Secular works for five voices	Itene o miei sospiri	string_quartet_plus_viole	data/cpdl/5-voices/sources/106_itene_o_miei_sospiri__02_gesu_3ite.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/106_itene_o_miei_sospiri.musicxml	2	ok	
107	Secular works for five voices	Languisce al fin chi da la vita parte	string_quartet_plus_viole	data/cpdl/5-voices/sources/107_languisce_al_fin_chi_da_la_vita_parte__02_gesu_10la.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/107_languisce_al_fin_chi_da_la_vita_parte.musicxml	0	ok	
108	Secular works for five voices	Languisce e moro, ahi, cruda	string_quartet_plus_viole				data/cpdl/5-voices/reductions/string_quartet_plus_viole/108_languisce_e_moro_ahi_cruda.musicxml		error	data/cpdl/5-voices/sources/108_languisce_e_moro_ahi_cruda__01_gesualdo_languisce_e_moro_ahi_cruda.mxl: reduction failed: Violin I has overlapping source events near measure 17: p0:e17
109	Secular works for five voices	Luci serene e chiare	string_quartet_plus_viole	data/cpdl/5-voices/sources/109_luci_serene_e_chiare__01_gesualdo_luciserene.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/109_luci_serene_e_chiare.musicxml	2	ok	
110	Secular works for five voices	Ma se avverrà ch'io moia	string_quartet_plus_viole	data/cpdl/5-voices/sources/110_ma_se_avverra_ch_io_moia__01_8_ma_se_averra.mid	mid	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/110_ma_se_avverr_ch_io_moia.musicxml	7	ok	
111	Secular works for five voices	Ma se tale ha costei	string_quartet_plus_viole	data/cpdl/5-voices/sources/111_ma_se_tale_ha_costei__01_ma_se_tale_ha_costei.mid	mid	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/111_ma_se_tale_ha_costei.musicxml	0	ok	
112	Secular works for five voices	Ma tu, cagion di quella atroce pena	string_quartet_plus_viole	data/cpdl/5-voices/sources/112_ma_tu_cagion_di_quella_atroce_pena__02_gesu_18ma.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/112_ma_tu_cagion_di_quella_atroce_pena.musicxml	5	ok	
113	Secular works for five voices	Madonna, io ben vorrei	string_quartet_plus_viole	data/cpdl/5-voices/sources/113_madonna_io_ben_vorrei__02_gesualdo_madonna_io_ben_vorrei.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/113_madonna_io_ben_vorrei.musicxml	2	ok	
114	Secular works for five voices	Mentre gira costei	string_quartet_plus_viole	data/cpdl/5-voices/sources/114_mentre_gira_costei__02_mentre_gira_costei_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/114_mentre_gira_costei.musicxml	0	ok	
115	Secular works for five voices	Mentre madonna il lasso fianco posa	string_quartet_plus_viole	data/cpdl/5-voices/sources/115_mentre_madonna_il_lasso_fianco_posa__02_gesualdo_mentre_madonna_il_lasso_fianco_posa.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/115_mentre_madonna_il_lasso_fianco_posa.musicxml	0	ok	
116	Secular works for five voices	Mentre, mia stella, miri	string_quartet_plus_viole	data/cpdl/5-voices/sources/116_mentre_mia_stella_miri__01_gesualdo_mentre_mia_stella_miri.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/116_mentre_mia_stella_miri.musicxml	0	ok	
117	Secular works for five voices	Meraviglia d'Amore	string_quartet_plus_viole	data/cpdl/5-voices/sources/117_meraviglia_d_amore__01_gesualdo_meraviglia_d_amore.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/117_meraviglia_d_amore.musicxml	0	ok	
118	Secular works for five voices	Mercè grido piangendo	string_quartet_plus_viole	data/cpdl/5-voices/sources/118_merce_grido_piangendo__02_gesu_11me.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/118_merc_grido_piangendo.musicxml	0	ok	
119	Secular works for five voices	Mille volte il di	string_quartet_plus_viole	data/cpdl/5-voices/sources/119_mille_volte_il_di__02_mille_volte_il_di_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/119_mille_volte_il_di.musicxml	2	ok	
